FECHA;PRECTOTCORR;ALLSKY_SFC_SW_DWN
20020808;4,13;20,64
20020809;0,34;17,3
20020810;0,01;23,41
20020811;3,24;20,2
20020812;0,57;19,78
20020813;1;22,29
20020814;0,42;23,84
20020815;0,54;24,21
20020816;0,25;20,71
20020817;0;24,37
20020818;0,62;22,87
20020819;0,85;15,44
20020820;0,98;16,57
20020821;1,17;22,7
20020822;0,66;25,32
20020823;0,2;19,79
20020824;0,02;23,85
20020825;7,26;22
20020826;3,3;20,64
20020827;1,53;22,23
20020828;0,97;19,52
20020829;0,45;17,85
20020830;0,08;13,86
20020831;2,18;18,98
20020901;1,58;15,66
20020902;7,38;19,6
20020903;1,81;25
20020904;0,01;25,61
20020905;0,01;16,69
20020906;0,06;20,75
20020907;0;21,21
20020908;0;22,34
20020909;2,66;21,52
20020910;25,91;13,84
20020911;2,16;11,9
20020912;0,97;18,43
20020913;0,34;20,29
20020914;0,06;20,01
20020915;5,37;20,69
20020916;10,61;23,95
20020917;5,08;14,65
20020918;26,23;9,7
20020919;5,38;17,81
20020920;0,02;15,92
20020921;0;23,25
20020922;0;23,34
20020923;7,48;21,02
20020924;1,73;23,01
20020925;3,55;17,21
20020926;0,82;19,26
20020927;0,88;19,1
20020928;4,58;19,71
20020929;2,19;16,15
20020930;0,31;22,79
20021001;0,16;21,59
20021002;5,47;21,62
20021003;8,81;9,63
20021004;1,74;21,53
20021005;0,07;23,12
20021006;4,53;23,01
20021007;2,14;20,72
20021008;15,73;11,64
20021009;1,26;22,93
20021010;0,05;21,77
20021011;3,38;13,41
20021012;0,15;18,69
20021013;0,06;21,75
20021014;0,17;22,26
20021015;0,17;18,63
20021016;2,03;19,82
20021017;0,14;22,26
20021018;12,51;23,47
20021019;1,57;23,59
20021020;0,2;22,25
20021021;23,8;18,08
20021022;2,6;15,69
20021023;11,88;13,28
20021024;15,31;14,36
20021025;6,38;15,3
20021026;11,24;16,78
20021027;41,08;14,38
20021028;59,54;15,08
20021029;18,65;13,75
20021030;2,8;19,57
20021031;0,01;23,88
20021101;0,11;21,96
20021102;12,8;17,66
20021103;2,42;18,6
20021104;0,49;20,14
20021105;1,61;21,07
20021106;0,35;17,96
20021107;3,54;17,3
20021108;0,71;16,64
20021109;0,37;21,76
20021110;0,44;20,04
20021111;0,07;21,41
20021112;0,45;18,92
20021113;1,16;16,9
20021114;0,8;16,64
20021115;0,38;20,38
20021116;1,26;21,93
20021117;0,49;21,52
20021118;0,19;19,26
20021119;0,06;18,97
20021120;0,8;19,35
20021121;0,1;20,84
20021122;0;20,88
20021123;0,08;18,93
20021124;0,01;19,85
20021125;1,97;20,26
20021126;0,06;19,27
20021127;0;20,06
20021128;0,01;18,91
20021129;0,02;17,23
20021130;0,92;19,08
20021201;0,02;16,89
20021202;0;19,31
20021203;0;19,66
20021204;0,06;20,21
20021205;7,39;19,23
20021206;6,71;18,63
20021207;0,83;14,77
20021208;0,2;20,27
20021209;0,04;22,06
20021210;0,11;20,78
20021211;0;20,38
20021212;0,02;20,65
20021213;0,01;20,33
20021214;0;19,71
20021215;0,64;18,96
20021216;77,83;13,59
20021217;14,71;12,98
20021218;2,11;14,59
20021219;1,08;16,62
20021220;0,03;20,41
20021221;0;20,07
20021222;0,6;18,63
20021223;0,05;17,18
20021224;0;19,04
20021225;0;21
20021226;0,05;20,76
20021227;0,05;19,47
20021228;0;19,16
20021229;0,04;20,21
20021230;0;18,06
20021231;0;21,61
20030101;0;20,38
20030102;0;20,16
20030103;0;20,77
20030104;0;20,84
20030105;0;20,75
20030106;0;20,41
20030107;0;20,15
20030108;0;19,9
20030109;0;19,74
20030110;0;20,42
20030111;0;20,59
20030112;0,05;19,36
20030113;0,01;20,33
20030114;0;21,61
20030115;0,01;19,45
20030116;0,04;22,45
20030117;0;21,16
20030118;0,1;20,57
20030119;0,08;20,63
20030120;0,17;22,37
20030121;0,11;20,77
20030122;0,03;21,83
20030123;0,01;19,32
20030124;0,02;19,9
20030125;0,01;20,61
20030126;0;18,33
20030127;0;22,33
20030128;0,02;21,92
20030129;0,02;21,2
20030130;0;22,63
20030131;0;22,76
20030201;0;23,2
20030202;0;22,89
20030203;0;22,49
20030204;0,01;21,53
20030205;0;22,43
20030206;0;22,46
20030207;0;22,6
20030208;0,03;20,92
20030209;1;19,2
20030210;0,01;18,42
20030211;0,04;21,79
20030212;0,06;23,48
20030213;0;22,12
20030214;0,04;23,64
20030215;0,06;25,39
20030216;0,01;24,53
20030217;0,01;23,51
20030218;0,66;22,72
20030219;0,07;21,86
20030220;0;24,89
20030221;0;22,68
20030222;0,04;23,44
20030223;0,08;22,46
20030224;1,25;22,47
20030225;0,05;21,45
20030226;0;21,61
20030227;0;22,79
20030228;0;23,99
20030301;0,08;24,48
20030302;0,01;22,09
20030303;0;23,38
20030304;0;24,88
20030305;0;24,19
20030306;98,33;24,05
20030307;4,46;23,92
20030308;0;25,33
20030309;0;25,01
20030310;0;23,14
20030311;0;23,42
20030312;0;22,43
20030313;0;19,24
20030314;0,06;16,5
20030315;0,76;19,31
20030316;4,1;7,45
20030317;1,69;18,02
20030318;2,12;18,04
20030319;0,79;23,02
20030320;0,26;25,02
20030321;0,03;24,85
20030322;0;25,88
20030323;0;25,66
20030324;0;23,8
20030325;0,07;23,33
20030326;3,69;21,91
20030327;0,04;20,49
20030328;0,01;22,74
